"Status","Start Time","Stop Time","Duration in ms","Parent Suite","Suite","Sub Suite","Test Class","Test Method","Name","Description"
"passed","Sat Aug 31 20:12:44 GMT 2024","Sat Aug 31 20:12:46 GMT 2024","2021","","main_test","","","","test_case1",""
"failed","Sat Aug 31 20:12:47 GMT 2024","Sat Aug 31 20:12:47 GMT 2024","633","","main_test","","","","test_case3[a796ba84-f8b6-4da5-816d-cdf84abe973f]",""
"passed","Sat Aug 31 20:12:47 GMT 2024","Sat Aug 31 20:12:48 GMT 2024","725","","main_test","","","","test_case3[3955de07-1c77-458e-9f5a-6ead5d5dc5b3]",""
"failed","Sat Aug 31 20:12:48 GMT 2024","Sat Aug 31 20:12:49 GMT 2024","656","","main_test","","","","test_case3[ ]",""
"passed","Sat Aug 31 20:12:46 GMT 2024","Sat Aug 31 20:12:47 GMT 2024","635","","main_test","","","","test_case2",""
